id,name,url,description,categories,languages,countries,currency_score,relevance_score,authority_score,accuracy_score,purpose_score,total_score,max_possible_score,rating,has_about_page,has_contact_info,has_privacy_policy,has_terms_of_service,has_copyright_info,domain_age_years,last_updated,social_media_presence,ads_level,citations_found,https_enabled,domain
economictimes_indiatimes,The Economic Times,https://economictimes.indiatimes.com,"Business news today: Read India Business news Live. Latest Business news and updates on Finance, share market, IPO, economy. Discover Business News Headlines, Top Financial News and more on The Economic Times","environment, sports, world, lifestyle, science, technology, education, health, top, business, entertainment, politics",english,india,8,5,5,7,7,32,50,B (Above Average),True,False,False,True,True,0.0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,economictimes.indiatimes.com
telecom_economictimes,ET Telecom,https://telecom.economictimes.indiatimes.com,"Find the latest telecom Industry news, online Industry information, views & updates. Get online news from the Indian Telecom Industry on ET Telecom.",technology,english,india,8,1,8,2,6,25,50,C+ (Average),True,True,True,True,False,0.0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,telecom.economictimes.indiatimes.com
malayalam_news18,Pravasi Malayalee News,https://malayalam.news18.com,"Malayalam News Online. Today&s Latest Malayalam News from Kerala, India, Gulf &amp; World. മലയാളം വാർത്തകൾ. ഇന്നത്തെ പ്രധാന വാർത്തകൾ","sports, lifestyle, world, technology, other, health, top, business, entertainment, crime, politics","spanish, malayalam",india,8,6,0,5,6,25,50,C+ (Average),False,False,False,False,True,0.0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,malayalam.news18.com
google,Google News,https://news.google.com,"Comprehensive, up-to-date news coverage, aggregated from sources all over the world by Google News.","sports, science, technology, health, top, entertainment, business","japanese, english, arabic","united kingdom, japan, india, united arab emirates, australia, singapore, canada, united states of america, saudi arabia",8,7,4,7,4,30,50,B (Above Average),False,False,False,False,True,0.0,,[],Low,False,True,news.google.com
espn,ESPN,https://www.espn.com,"Visit ESPN to get up-to-the-minute sports news coverage, scores, highlights, and commentary for cricket, rugby, football, F1, kabaddi, and more.","sports, top",english,"united kingdom, india, australia, singapore, canada, united states of america",8,3,6,5,6,28,50,C+ (Average),True,False,True,True,True,0.0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.espn.com
foreignpolicy,Foreign Policy,https://foreignpolicy.com,The Global Magazine of News and Ideas.,"world, top",english,"taiwan, syria, qatar, niger, malaysia, lebanon, south africa, costa rica, timor-leste, seychelles, ghana, laos, mali, venezuela, uganda, haiti, mexico, iran, macau, botswana, cape verde, grenada, kazakhstan, nicaragua, india, cyprus, azerbaijan, congo, turkey, sierra leone, dr congo, tanzania, guyana, united arab emirates, oman, hong kong, china, vietnam, turkmenistan, cambodia, dominican republic, malawi, bangladesh, libya, world, jamaica, south korea, chile, dominica, senegal, guatemala, el salvador, pakistan, lesotho, tajikistan, saint lucia, zambia, ecuador, thailand, maldives, cameroon, bolivia, zimbabwe, mauritius, eritrea, kuwait, barbados, georgia, israel, singapore, bahrain, ivory coast, brunei, liberia, burundi, central african republic, afghanistan, djibouti, gabon, algeria, philippines, mongolia, rwanda, namibia, honduras, bhutan, uruguay, saudi arabia, jordan, gambia, iraq, nigeria, peru, yemen, burkina fasco, paraguay, kyrgyzstan, mozambique, mauritania, tunisia, madagascar, united states of america, morocco, belize, kenya, bahamas, panama, nepal, benin, north korea, sri lanka, trinidad and tobago, colombia, cuba, sudan, canada, guinea, uzbekistan, armenia, equatorial guinea, ethiopia, togo, myanmar, chad, angola, somalia, brazil, japan, argentina, suriname, indonesia",8,4,6,3,4,25,50,C+ (Average),True,True,True,True,True,0.0,,"['facebook', 'twitter', 'instagram', 'linkedin']",High,False,True,foreignpolicy.com
bangla_asianetnews,Asianet News Bangla,https://bangla.asianetnews.com,"Bangla News (বাংলা খবর): Asianet News Bangla brings you latest Bengali News, India News in Bengali, Top Bangla News Headlines, Bangla Khobar, Breaking News from Kolkata, India, World, Politics, Sports and more in Bengali language. বাংলার আজকের সর্বশেষ ব্রেকিং নিউজ পড়ুন।ন।",top,bengali,india,8,1,0,5,6,20,50,C (Below Average),False,False,False,False,True,0.0,,[],Low,False,True,bangla.asianetnews.com
financialtimes,Financial Times,https://www.ft.com,"News, analysis, and comment from the Financial Times, the world's leading global business publication.","environment, world, technology, top, business, entertainment, politics",english,"taiwan, syria, malawi, malaysia, tunisia, libya, lebanon, costa rica, united states of america, morocco, afghanistan, south korea, algeria, chile, panama, united kingdom, egypt, philippines, guatemala, north korea, venezuela, mexico, iran, colombia, ecuador, thailand, cuba, nicaragua, india, canada, uruguay, azerbaijan, armenia, turkey, bolivia, iraq, myanmar, nigeria, zimbabwe, chad, somalia, peru, japan, brazil, israel, argentina, singapore, indonesia, china, paraguay",8,6,7,5,4,30,50,B (Above Average),True,True,True,True,True,0.0,,['twitter'],High,False,True,www.ft.com
theguardian,The Guardian,https://www.theguardian.com,"Latest international news, sport, and comment from the Guardian.","technology, tourism, health, sports, top, science, environment, politics, food, business, entertainment, world",english,"united kingdom, singapore, canada, united states of america, australia, india",8,7,10,7,5,37,50,B+ (Good),True,True,True,True,True,0.0,,"['facebook', 'instagram', 'youtube', 'linkedin']",High,False,True,www.theguardian.com
outlookindia,OUTLOOK,https://www.outlookindia.com,"Outlook covers the latest India news, analysis, business news and long-form stories on culture, money market and personal finance. Read India's best online magazine.",top,english,india,3,1,6,6,6,22,50,C (Below Average),True,True,False,True,True,0.0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,www.outlookindia.com
prokerala,Prokerala,https://www.prokerala.com,"Prokerala - Health, Ayurveda, Travel, Astrology, Ringtones, News","lifestyle, top",english,india,6,1,2,3,4,16,50,D (Poor),False,True,False,False,True,0.0,,"['facebook', 'twitter', 'youtube']",High,False,True,www.prokerala.com
vogue,Vogue,https://www.vogue.com,"VOGUE India is the one-stop destination for women's fashion, beauty, lifestyle and entertainment content. Get fashion &amp; beauty tips from experts, and celeb-inspiration for looks, home decor, and more.",entertainment,"portuguese, spanish, english, traditional chinese, italian, japanese, german, french, korean","taiwan, germany, united kingdom, brazil, france, italy, india, japan, spain, singapore, united states of america, mexico, south korea",8,6,6,6,6,32,50,B (Above Average),True,True,True,False,True,0.0,,"['facebook', 'twitter', 'instagram']",High,False,True,www.vogue.com
