id,name,url,description,categories,languages,countries,currency_score,relevance_score,authority_score,accuracy_score,purpose_score,total_score,max_possible_score,rating,has_about_page,has_contact_info,has_privacy_policy,has_terms_of_service,has_copyright_info,domain_age_years,last_updated,social_media_presence,ads_level,citations_found,https_enabled,domain
theguardian,The Guardian,https://www.theguardian.com,"Latest international news, sport, and comment from the Guardian.","technology, tourism, health, sports, top, science, environment, politics, food, business, entertainment, world",english,"united kingdom, singapore, canada, united states of america, australia, india",8,7,10,7,5,37,50,B+ (Good),True,True,True,True,True,0,,"['facebook', 'instagram', 'youtube', 'linkedin']",High,False,True,www.theguardian.com
jagranjosh,Jagran Josh,https://www.jagranjosh.com,"Jagran Josh provides Latest Education News and One Stop Destination for School & College going Students along with Study Material, Free Notes for Board, Govt. and other Competitive Exams.",education,"english, hindi",india,8,2,6,1,6,23,50,C (Below Average),True,True,True,True,False,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.jagranjosh.com
timesnownews,Times Now News,https://www.timesnownews.com,"News - Get Breaking News and Latest News Headlines from India and around the World. Also read news today on Politics, Business, Entertainment, Sports, Education, Auto, Tech, Science, Opinions from leading columnists.","sports, lifestyle, science, education, tourism, other, top, health, entertainment, business, technology, politics","bengali, english, telugu, kannada, marathi, tamil",india,8,7,7,6,7,35,50,B+ (Good),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.timesnownews.com
dailymailuk,Mail Online,https://www.dailymail.co.uk/home/index.html,"MailOnline - get the latest breaking news, showbiz & celebrity photos, sport news & rumours, viral videos and top stories from MailOnline, Daily Mail and Mail on Sunday newspapers.","sports, science, technology, tourism, other, health, top, entertainment, business, politics",english,"taiwan, sweden, syria, qatar, germany, tonga, fiji, malaysia, tunisia, greece, ukraine, afghanistan, finland, latvia, romania, south korea, hungary, united kingdom, france, egypt, spain, belarus, iran, mexico, pakistan, rwanda, cuba, thailand, kazakhstan, india, italy, sudan, australia, canada, azerbaijan, armenia, turkey, ethiopia, iraq, nigeria, brazil, japan, israel, singapore, china, indonesia, russia",8,8,10,7,5,38,50,B+ (Good),True,True,True,True,True,0,,"['instagram', 'youtube']",High,False,True,www.dailymail.co.uk
indiatoday,India Today,https://www.indiatoday.in,"Check out the latest news from India and around the world. Latest India news on Bollywood, Politics, Business, Cricket, Technology, and Travel.","food, other, health, top, business, entertainment, politics",english,india,8,3,7,7,6,31,50,B (Above Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.indiatoday.in
ndtv,NDTV,http://www.ndtv.com,"NDTV.com provides the latest news from India and around the world. Get breaking news alerts from India and follow today’s live news updates in fields of politics, business, technology, Bollywood, cricket, and more.","sports, world, food, technology, top, entertainment","english, hindi",india,5,4,5,7,8,29,50,C+ (Average),True,False,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",Medium,False,False,www.ndtv.com
espn,ESPN,https://www.espn.com,"Visit ESPN to get up-to-the-minute sports news coverage, scores, highlights, and commentary for cricket, rugby, football, F1, kabaddi, and more.","sports, top",english,"united kingdom, india, australia, singapore, canada, united states of america",8,3,6,5,6,28,50,C+ (Average),True,False,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube']",High,False,True,www.espn.com
financialtimes,Financial Times,https://www.ft.com,"News, analysis, and comment from the Financial Times, the world's leading global business publication.","environment, world, technology, top, business, entertainment, politics",english,"taiwan, syria, malawi, malaysia, tunisia, libya, lebanon, costa rica, united states of america, morocco, afghanistan, south korea, algeria, chile, panama, united kingdom, egypt, philippines, guatemala, north korea, venezuela, mexico, iran, colombia, ecuador, thailand, cuba, nicaragua, india, canada, uruguay, azerbaijan, armenia, turkey, bolivia, iraq, myanmar, nigeria, zimbabwe, chad, somalia, peru, japan, brazil, israel, argentina, singapore, indonesia, china, paraguay",8,6,7,5,4,30,50,B (Above Average),True,True,True,True,True,0,,['twitter'],High,False,True,www.ft.com
sputniknews,Sputnik News,https://fr.sputniknews.com,"Sputnik est une agence de presse multimédia internationale. Retrouvez toutes les dernières actualités du jour, information complètes, news et nouvelles mondiales en direct &amp; en continu.",top,"english, vietnamese, french","france, india, vietnam",8,4,2,5,4,23,50,C (Below Average),False,True,False,False,True,0,,['twitter'],High,False,True,fr.sputniknews.com
thehindu,The Hindu,https://www.thehindu.com,"Today's News Headlines, Breaking News, and latest news from India and World, News from Politics, Sports, Business, Arts and Entertainment.","environment, sports, lifestyle, world, science, food, technology, tourism, top, health, entertainment, business, politics",english,india,8,5,7,7,6,33,50,B (Above Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,www.thehindu.com
appleinsider,Apple Insider,https://appleinsider.com,"For Apple News, Rumors, Reviews, Prices, and Deals, trust AppleInsider. Serving Apple product enthusiasts since 1997.",technology,english,"united kingdom, india, australia, singapore, canada, united states of america",8,3,6,5,6,28,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,appleinsider.com
thequint,The Quint,https://www.thequint.com,"Latest News, Breaking News LIVE, Top News Headlines, Viral Videos News Updates - The Quint","sports, science, top, entertainment, politics",english,india,8,2,5,5,4,24,50,C (Below Average),True,True,True,False,True,0,,"['facebook', 'instagram']",High,False,True,www.thequint.com
mashable_me,Mashable ME,https://me.mashable.com,"Mashable is a global, multi-platform media and entertainment company.","environment, lifestyle, science, technology, other, health, entertainment",english,"kyrgyzstan, syria, qatar, mauritania, tunisia, libya, lebanon, morocco, afghanistan, djibouti, algeria, egypt, iran, pakistan, tajikistan, kazakhstan, india, sudan, cyprus, saudi arabia, azerbaijan, uzbekistan, armenia, turkey, ethiopia, iraq, jordan, kuwait, somalia, georgia, israel, united arab emirates, oman, bahrain, yemen, turkmenistan",8,6,6,1,4,25,50,C+ (Average),True,True,True,False,False,0,,"['facebook', 'instagram']",High,False,True,me.mashable.com
channelnewsasia,Channel NewsAsia,https://www.channelnewsasia.com,"Breaking news and latest stories from Singapore, Asia, and around the world; commentary, business, sports, technology, health, and more. Watch CNA live.","sports, top, world, business",english,"taiwan, kyrgyzstan, cambodia, syria, brunei, qatar, malaysia, bangladesh, lebanon, timor-leste, afghanistan, romania, south korea, nepal, laos, philippines, north korea, sri lanka, iran, macau, pakistan, tajikistan, mongolia, vietnam, thailand, kazakhstan, india, cyprus, bhutan, maldives, saudi arabia, azerbaijan, uzbekistan, armenia, turkey, jordan, iraq, myanmar, kuwait, japan, georgia, israel, united arab emirates, oman, singapore, hong kong, china, indonesia, bahrain, yemen, turkmenistan",8,5,6,7,6,32,50,B (Above Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'youtube', 'linkedin']",High,False,True,www.channelnewsasia.com
seekingalpha,Seeking Alpha,https://seekingalpha.com,"Get stock market news and analysis, investing ideas, earnings calls, charts, and portfolio analysis tools.","health, business",english,"israel, japan, canada, india",8,2,8,7,8,33,50,B (Above Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",Low,False,True,seekingalpha.com
economictimes_indiatimes,The Economic Times,https://economictimes.indiatimes.com,"Business news today: Read India Business news Live. Latest Business news and updates on Finance, share market, IPO, economy. Discover Business News Headlines, Top Financial News and more on The Economic Times","environment, sports, world, lifestyle, science, technology, education, health, top, business, entertainment, politics",english,india,8,5,5,7,7,32,50,B (Above Average),True,False,False,True,True,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,economictimes.indiatimes.com
oilprice,OIL Price,https://oilprice.com,"Crude oil prices & gas price charts. Oil price charts for Brent Crude, WTI & oil futures. Energy news covering oil, petroleum, natural gas, and investment advice.",business,english,"united kingdom, india, australia, singapore, canada, united states of america, saudi arabia",8,3,7,5,6,29,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'youtube', 'linkedin']",High,False,True,oilprice.com
9to5mac,9To5 Mac,https://9to5mac.com,"News and reviews for Apple products, apps, and rumors. We provide breaking coverage for the iPhone, iPad, and all things Mac!",technology,english,"united kingdom, india, australia, singapore, united states of america",8,2,4,2,6,22,50,C (Below Average),True,False,True,False,False,0,,"['facebook', 'twitter', 'instagram', 'youtube', 'linkedin']",High,False,True,9to5mac.com
foreignpolicy,Foreign Policy,https://foreignpolicy.com,The Global Magazine of News and Ideas.,"world, top",english,"taiwan, syria, qatar, niger, malaysia, lebanon, south africa, costa rica, timor-leste, seychelles, ghana, laos, mali, venezuela, uganda, haiti, mexico, iran, macau, botswana, cape verde, grenada, kazakhstan, nicaragua, india, cyprus, azerbaijan, congo, turkey, sierra leone, dr congo, tanzania, guyana, united arab emirates, oman, hong kong, china, vietnam, turkmenistan, cambodia, dominican republic, malawi, bangladesh, libya, world, jamaica, south korea, chile, dominica, senegal, guatemala, el salvador, pakistan, lesotho, tajikistan, saint lucia, zambia, ecuador, thailand, maldives, cameroon, bolivia, zimbabwe, mauritius, eritrea, kuwait, barbados, georgia, israel, singapore, bahrain, ivory coast, brunei, liberia, burundi, central african republic, afghanistan, djibouti, gabon, algeria, philippines, mongolia, rwanda, namibia, honduras, bhutan, uruguay, saudi arabia, jordan, gambia, iraq, nigeria, peru, yemen, burkina fasco, paraguay, kyrgyzstan, mozambique, mauritania, tunisia, madagascar, united states of america, morocco, belize, kenya, bahamas, panama, nepal, benin, north korea, sri lanka, trinidad and tobago, colombia, cuba, sudan, canada, guinea, uzbekistan, armenia, equatorial guinea, ethiopia, togo, myanmar, chad, angola, somalia, brazil, japan, argentina, suriname, indonesia",8,4,6,3,4,25,50,C+ (Average),True,True,True,True,True,0,,"['facebook', 'twitter', 'instagram', 'linkedin']",High,False,True,foreignpolicy.com
